timestamp,open,high,low,close
1723320000000,2430.925,2430.925,2430.925,2430.925
1723334400000,2430.925,2430.925,2430.925,2430.925
1723348800000,2430.925,2430.925,2430.925,2430.925
1723363200000,2430.925,2430.925,2430.925,2430.925
1723377600000,2430.925,2430.925,2430.925,2430.925
1723392000000,2430.925,2430.925,2430.925,2430.925
1723406400000,2430.925,2433.305,2426.835,2427.765
1723420800000,2427.835,2430.115,2423.695,2428.445
1723435200000,2428.415,2442.745,2428.095,2441.515
1723449600000,2441.525,2445.015,2439.518,2441.495
1723464000000,2441.485,2460.358,2441.345,2459.705
1723478400000,2459.705,2472.065,2458.894,2470.418
1723492800000,2470.408,2475.855,2469.825,2475.425
1723507200000,2475.445,2476.845,2460.764,2463.318
1723521600000,2463.325,2466.065,2458.365,2464.085
1723536000000,2464.125,2466.498,2458.775,2465.648
1723550400000,2465.648,2475.505,2458.818,2468.498
1723564800000,2468.454,2470.925,2462.105,2466.965
1723579200000,2466.888,2467.728,2462.808,2463.975
1723593600000,2463.985,2472.415,2455.225,2460.765
1723608000000,2460.745,2471.815,2459.098,2470.828
1723622400000,2470.825,2478.615,2468.605,2474.638
1723636800000,2474.668,2479.715,2441.948,2443.935
1723651200000,2443.955,2448.275,2438,2447.115
1723665600000,2447.075,2449.348,2446.355,2449.295
1723680000000,2449.315,2454.195,2448.075,2453.565
1723694400000,2453.565,2458.665,2450.205,2455.665
1723708800000,2455.665,2464.065,2453.485,2463.418
1723723200000,2463.418,2469.945,2432.015,2458.255
1723737600000,2458.328,2461.558,2453.338,2455.414
1723752000000,2455.415,2458.098,2454.225,2457.195
1723766400000,2457.225,2459.908,2450.565,2452.308
1723780800000,2452.285,2464.405,2451.025,2461.885
1723795200000,2461.925,2472.195,2458.954,2472.015
1723809600000,2472.015,2500.045,2471.148,2491.635
1723824000000,2491.645,2508.875,2491.565,2507.824
1723838400000,2507.765,2509.638,2505.405,2506.844
1723852800000,2506.844,2506.844,2506.844,2506.844
1723867200000,2506.844,2506.844,2506.844,2506.844
1723881600000,2506.844,2506.844,2506.844,2506.844
1723896000000,2506.844,2506.844,2506.844,2506.844
1723910400000,2506.844,2506.844,2506.844,2506.844
1723924800000,2506.844,2506.844,2506.844,2506.844
1723939200000,2506.844,2506.844,2506.844,2506.844
1723953600000,2506.844,2506.844,2506.844,2506.844
1723968000000,2506.844,2506.844,2506.844,2506.844
1723982400000,2506.844,2506.844,2506.844,2506.844
1723996800000,2506.844,2506.844,2506.844,2506.844
1724011200000,2506.844,2509.998,2502.148,2506.305
1724025600000,2506.325,2506.645,2494.845,2503.155
1724040000000,2503.155,2505.098,2498.695,2502.925
1724054400000,2502.865,2507.065,2486.415,2494.365
1724068800000,2494.365,2505.865,2485.515,2503.848
